CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,closest_depth,true depth,"SAMPLE
NUMBER","PERMEABILITY (HORIZONTAL)
Kair
md"," PERMEABILITY(VERTICAL)
Kair
md","POROSITY
(HELIUM)",Longitude,Latitude
12.1225,-0.0035,2.1834,108.2706,207.9348,46.6484,0.3765,2.835,1.089,0.6978,0.8454,2221.5,2221.588,29,1240,,32.9,-4.3999889,60.323475
12.1238,-0.0043,2.1924,108.1358,203.5183,45.1172,0.3626,2.8333,1.0926,0.7023,0.8518,2221.75,2221.7404,30,1718,,32.1,-4.3999889,60.323475
12.1213,-0.0054,2.1966,107.4192,198.9388,46.5755,0.3733,2.8093,1.0924,0.6967,0.8609,2222,2221.8928,31,1991,1774,30.9,-4.3999889,60.323475
12.1202,-0.0047,2.1999,106.107,199.1241,46.3852,0.3565,2.8311,1.0795,0.6991,0.8499,2222,2222.0452,31,1991,1774,30.9,-4.3999889,60.323475
12.1183,-0.006,2.1974,106.2604,199.6506,47.721,0.3711,2.8634,1.0154,0.7036,0.8146,2222.19,2222.1976,32,1230,,30.3,-4.3999889,60.323475
12.1277,-0.0054,2.1948,105.297,198.3737,46.6389,0.3573,2.8482,0.9168,0.6892,0.7439,2222.19,2222.35,32,1230,,30.3,-4.3999889,60.323475
12.1417,-0.0057,2.1922,105.7187,198.7208,48.0928,0.3642,2.839,0.8587,0.627,0.7119,2222.52,2222.5024,33,1591,,30.9,-4.3999889,60.323475
12.15,-0.0052,2.1904,105.411,199.7015,48.2691,0.3671,2.8779,0.8006,0.6449,0.6651,2222.75,2222.6548,34,1871,,31.2,-4.3999889,60.323475
12.159,-0.0048,2.1834,105.3349,198.4404,49.3604,0.3666,2.9336,0.9153,0.6439,0.7563,2222.75,2222.8072,34,1871,,31.2,-4.3999889,60.323475
12.1596,-0.0053,2.1813,105.5265,202.1955,48.785,0.3698,2.9762,1.2172,0.6776,0.9998,2223,2222.9596,35,1122,1460,30.8,-4.3999889,60.323475
12.1555,-0.0081,2.1749,105.7264,204.911,48.5026,0.3479,3.0222,1.376,1.0142,1.1316,2223,2223.112,35,1122,1460,30.8,-4.3999889,60.323475
12.158,-0.0061,2.1849,105.9272,203.5262,48.8568,0.3747,3.1309,1.986,2.6512,1.6136,2223.25,2223.2644,36,1874,,31.8,-4.3999889,60.323475
12.1574,-0.0049,2.2045,105.4844,204.4247,51.9131,0.3754,3.3286,2.457,1.8871,2.044,2223.25,2223.4168,36,1874,,31.8,-4.3999889,60.323475
12.2614,0.0031,2.252,105.4021,206.3918,62.7833,0.4156,3.548,2.3479,2.6699,1.997,2223.25,2223.5692,36,1874,,31.8,-4.3999889,60.323475
12.4894,0.0071,2.2915,106.2956,206.6602,72.9421,0.4231,3.7269,2.2071,2.1026,1.9298,2223.25,2223.7216,36,1874,,31.8,-4.3999889,60.323475
12.2185,0.0437,2.2955,119.0917,254.9172,86.5315,0.4371,3.6743,1.149,1.2566,1.1455,2228.25,2227.8364,56,321,,29.7,-4.3999889,60.323475
12.1925,0.043,2.3423,118.7557,251.5931,82.5169,0.4197,3.4397,1.0129,0.7882,1.0143,2228.25,2227.9888,56,321,,29.7,-4.3999889,60.323475
12.0968,0.0122,2.302,116.7331,245.3707,78.5629,0.3989,3.0461,1.0042,0.9705,1.0068,2228.25,2228.1412,56,321,,29.7,-4.3999889,60.323475
12.0747,0.0002,2.2545,113.8051,243.4539,73.3202,0.4019,2.7924,0.9982,0.8139,1.0081,2228.25,2228.2936,56,321,,29.7,-4.3999889,60.323475
12.0725,-0.0014,2.2125,106.4277,213.433,66.2374,0.3986,2.6839,0.9297,0.7256,0.9498,2228.52,2228.446,57,228,,28.9,-4.3999889,60.323475
12.0779,0.0005,2.1967,105.9103,209.5486,59.1244,0.3997,2.7263,0.8785,0.783,0.8996,2228.52,2228.5984,57,228,,28.9,-4.3999889,60.323475
12.0732,0.0007,2.1887,106.5788,210.5664,58.0423,0.3847,2.7061,0.8885,0.7226,0.9098,2228.75,2228.7508,58,1571,,32,-4.3999889,60.323475
12.0755,-0.0018,2.1818,105.5656,213.4656,58.7325,0.3649,2.7922,1.0724,0.7754,1.0803,2229,2228.9032,59,402,1086,32.9,-4.3999889,60.323475
12.0709,-0.0025,2.1818,107.5402,214.6976,59.0277,0.3778,2.8836,1.3611,1.2165,1.3332,2229,2229.0556,59,402,1086,32.9,-4.3999889,60.323475
12.0771,-0.0044,2.1873,108.7475,212.8586,58.4535,0.3788,3.0761,1.6729,2.3078,1.6349,2229.19,2229.208,50,1993,,32.7,-4.3999889,60.323475
12.1021,-0.0044,2.2102,108.501,221.386,63.3214,0.3943,3.3499,1.7866,2.7277,1.7793,2229.19,2229.3604,50,1993,,32.7,-4.3999889,60.323475
12.1147,-0.0038,2.241,108.9508,227.4198,69.6172,0.3856,3.4562,1.4354,1.2868,1.4663,2229.8,2229.5128,62,70,,27.3,-4.3999889,60.323475
12.1213,-0.0008,2.2547,109.1929,223.5534,72.7983,0.3904,3.2735,1.1537,1.597,1.1646,2229.8,2229.6652,62,70,,27.3,-4.3999889,60.323475
12.0723,0.0006,2.2468,108.959,223.3597,72.1589,0.3793,3.0689,1.3337,0.9094,1.3067,2229.8,2229.8176,62,70,,27.3,-4.3999889,60.323475
12.0752,0.0004,2.2275,108.6197,224.1009,69.1585,0.3762,2.8668,1.7933,0.8176,1.6958,2230,2229.97,63,56,41,26,-4.3999889,60.323475
12.0752,-0.0006,2.2274,108.7204,226.6831,62.915,0.3821,2.9155,2.9508,53.0618,2.6904,2230,2230.1224,63,56,41,26,-4.3999889,60.323475
12.0752,-0.0019,2.2836,108.3733,223.5792,56.1764,0.3381,2.9712,12.28,115.2123,10.3553,2230.25,2230.2748,64,1797,,32.6,-4.3999889,60.323475
12.0763,0.0003,2.3911,108.0636,211.5189,48.6509,0.2506,3.3322,71.0739,156.8107,64.258,2230.5,2230.4272,65,0.05,,6.1,-4.3999889,60.323475
12.0752,0.0074,2.5318,103.7978,206.8844,44.3435,0.1575,3.3925,109.4231,131.4453,98.1926,2230.5,2230.5796,65,0.05,,6.1,-4.3999889,60.323475
12.0766,0.0067,2.6069,101.2092,206.1171,42.7204,0.1139,3.4479,114.3829,110.0932,99.0537,2230.75,2230.732,66,0.05,,8.1,-4.3999889,60.323475
12.0752,0.0031,2.6286,78.635,205.0333,41.1903,0.0974,3.4016,112.1405,42.067,96.0261,2231,2230.8844,67,<.01,<.01,3.5,-4.3999889,60.323475
12.0763,0.0032,2.6369,56.4061,219.0584,43.2874,0.0901,3.5113,105.2856,67.7552,90.5201,2231,2231.0368,67,<.01,<.01,3.5,-4.3999889,60.323475
12.0752,-0.0003,2.6237,56.5737,227.3887,41.9045,0.09,3.4362,102.674,71.8306,88.1105,2231.25,2231.1892,68,<.01,,3.8,-4.3999889,60.323475
12.0723,-0.0035,2.6042,54.8546,239.9484,41.9098,0.0938,3.4211,105.957,120.3082,90.848,2231.25,2231.3416,68,<.01,,3.8,-4.3999889,60.323475
12.0755,-0.0047,2.5981,55.2202,240.3333,39.8868,0.0931,3.3221,103.4824,108.7433,87.2037,2231.5,2231.494,69,<.01,,4.3,-4.3999889,60.323475
12.0763,-0.0048,2.6039,56.6232,235.7048,39.4007,0.0871,3.2908,58.6006,96.6037,48.5582,2231.75,2231.6464,70,<.01,,5.5,-4.3999889,60.323475
12.0755,-0.0037,2.617,55.8263,197.0872,39.5974,0.0905,3.3625,8.5565,95.7354,6.6819,2231.75,2231.7988,70,<.01,,5.5,-4.3999889,60.323475
12.0763,-0.0016,2.6187,56.0041,191.9238,39.6466,0.1,3.5402,2.8129,2.5852,2.3041,2232,2231.9512,71,<.01,0.01,3.4,-4.3999889,60.323475
12.0715,0.0007,2.6054,56.4729,191.8,39.4444,0.1214,3.614,1.5366,0.7898,1.2915,2232,2232.1036,71,<.01,0.01,3.4,-4.3999889,60.323475
12.0766,0.0019,2.5398,57.1531,200.6302,40.3789,0.1605,3.2628,1.1739,0.6513,1.0214,2232.25,2232.256,72,<.01,,5.3,-4.3999889,60.323475
12.0742,-0.0021,2.4364,61.0225,240.4959,44.0187,0.2217,2.8767,1.0582,0.6776,0.928,2232.48,2232.4084,73,2299,,32.4,-4.3999889,60.323475
12.0757,-0.0036,2.3074,115.9535,241.5394,49.8282,0.2893,2.6143,1.122,0.8509,0.9659,2232.48,2232.5608,73,2299,,32.4,-4.3999889,60.323475
12.0752,-0.0027,2.2322,116.2714,241.8751,55.3917,0.3488,2.6408,1.2634,1.0245,1.0877,2232.75,2232.7132,74,1365,,32.2,-4.3999889,60.323475
12.0763,-0.0009,2.1986,114.5764,239.2425,57.2038,0.3826,2.7482,1.3057,0.7868,1.1246,2232.75,2232.8656,74,1365,,32.2,-4.3999889,60.323475
12.0742,-0.0004,2.1988,113.0036,204.2899,55.2364,0.3915,2.7527,1.1934,0.74,1.0295,2233,2233.018,75,1285,385,32.3,-4.3999889,60.323475
12.0736,0.0021,2.1926,108.6028,211.025,52.624,0.3846,2.638,1.1084,0.7488,0.9557,2233,2233.1704,75,1285,385,32.3,-4.3999889,60.323475
12.0752,-0.0019,2.1804,111.3758,219.8548,50.0182,0.3704,2.5473,1.0482,0.6851,0.8972,2233,2233.3228,75,1285,385,32.3,-4.3999889,60.323475
12.0925,-0.0032,2.176,111.0141,221.7492,48.0507,0.3714,2.6455,1.0197,0.6974,0.8679,2233,2233.4752,75,1285,385,32.3,-4.3999889,60.323475
12.279,0.0029,2.3493,101.9169,204.8382,70.2387,0.3534,3.5253,4.1317,11.445,3.825,2418.3,2417.8792,81,<.01,,5.5,-4.3999889,60.323475
12.2953,0.0041,2.4284,100.5051,201.1183,67.7302,0.3314,3.809,3.3464,3.5808,3.2442,2418.3,2418.0316,81,<.01,,5.5,-4.3999889,60.323475
12.3445,0.0067,2.5054,95.8198,194.2548,67.7302,0.3465,3.7253,2.5179,3.6417,2.503,2418.3,2418.184,81,<.01,,5.5,-4.3999889,60.323475
12.4502,0.0006,2.4865,90.6718,182.3301,69.1662,0.3753,3.5329,2.4351,3.7576,2.4295,2418.3,2418.3364,81,<.01,,5.5,-4.3999889,60.323475
12.4864,-0.0059,2.422,88.852,174.6293,72.6479,0.4064,3.5103,2.4324,3.8187,2.4166,2418.5,2418.4888,82,0.98,<.01 ,8.5,-4.3999889,60.323475
12.4861,-0.0052,2.3834,89.4056,175.4778,71.7295,0.4508,3.5406,2.4766,3.5651,2.4868,2418.5,2418.6412,82,0.98,<.01 ,8.5,-4.3999889,60.323475
12.4844,-0.0009,2.3751,91.3283,178.2851,70.7457,0.4717,3.6127,2.5031,3.7424,2.4803,2418.5,2418.7936,82,0.98,<.01 ,8.5,-4.3999889,60.323475
12.4854,0.0016,2.381,95.0593,186.6273,70.789,0.5166,3.6418,2.5097,3.9484,2.4818,2418.5,2418.946,82,0.98,<.01 ,8.5,-4.3999889,60.323475
12.2303,0.0034,2.3489,105.2232,216.2417,80.8249,0.4272,3.4873,2.4176,3.0768,2.1336,2423,2422.6036,100,152,6.5,27.3,-4.3999889,60.323475
12.1947,0.0049,2.3526,105.3922,213.8859,81.9619,0.4107,3.4628,2.3963,2.8831,2.1184,2423,2422.756,100,152,6.5,27.3,-4.3999889,60.323475
12.1997,0.0074,2.3626,105.6574,211.229,82.9703,0.41,3.4294,2.1812,2.1247,1.929,2423,2422.9084,100,152,6.5,27.3,-4.3999889,60.323475
12.1973,0.0078,2.3696,105.6667,209.718,82.4989,0.4094,3.3953,1.8437,2.0344,1.6264,2423,2423.0608,100,152,6.5,27.3,-4.3999889,60.323475
12.1575,0.0059,2.3572,103.9374,208.897,81.3266,0.4308,3.4565,1.7141,2.5228,1.5255,2423,2423.2132,100,152,6.5,27.3,-4.3999889,60.323475
12.1172,0.0037,2.3382,103.1593,207.7778,80.9777,0.4262,3.3414,1.6518,1.2488,1.463,2423,2423.3656,100,152,6.5,27.3,-4.3999889,60.323475
12.118,-0.0015,2.312,103.0688,207.9867,78.4978,0.4321,3.243,1.6001,1.7829,1.418,2423.75,2423.518,103,37,,24.8,-4.3999889,60.323475
12.1122,-0.0024,2.2977,103.3212,207.3634,78.006,0.405,3.1395,1.7842,1.5645,1.5864,2423.75,2423.6704,103,37,,24.8,-4.3999889,60.323475
12.1132,-0.0003,2.2982,103.3332,207.6481,77.049,0.4088,3.2856,1.9742,1.4217,1.7376,2423.75,2423.8228,103,37,,24.8,-4.3999889,60.323475
12.117,0.001,2.3034,103.0795,207.2234,76.0652,0.3926,3.4231,2.1123,2.0316,1.832,2424,2423.9752,104,16,,23.9,-4.3999889,60.323475
12.1132,0.0012,2.3137,103.1936,205.9899,78.7213,0.4151,3.5389,2.0538,2.5264,1.7845,2424,2424.1276,104,16,,23.9,-4.3999889,60.323475
12.1132,0.0036,2.3236,103.3292,205.1045,79.437,0.4147,3.4511,1.8027,1.824,1.5792,2424.5,2424.28,106,105,0.54,25,-4.3999889,60.323475
12.118,-0.0003,2.3164,102.193,205.0641,81.011,0.4234,3.3348,1.5976,1.6664,1.4084,2424.5,2424.4324,106,105,0.54,25,-4.3999889,60.323475
12.116,-0.005,2.2861,101.6847,205.005,77.1744,0.4013,3.0833,1.5949,0.9762,1.402,2424.5,2424.5848,106,105,0.54,25,-4.3999889,60.323475
12.1112,-0.0065,2.2522,101.7928,205.1294,73.0028,0.4005,3.0014,1.6312,1.0183,1.4086,2424.75,2424.7372,107,16,,22.5,-4.3999889,60.323475
12.1142,-0.0058,2.243,102.242,204.5042,73.6204,0.3771,2.9782,1.6779,1.4264,1.4335,2425,2424.8896,108,79,,24.1,-4.3999889,60.323475
12.1172,-0.0047,2.2607,102.3956,204.4026,73.2166,0.3754,3.1607,1.743,2.1521,1.4776,2425,2425.042,108,79,,24.1,-4.3999889,60.323475
12.1162,0,2.29,102.2098,203.5826,78.0164,0.3656,3.172,1.8522,1.4768,1.5786,2425.25,2425.1944,109,512,,29.5,-4.3999889,60.323475
12.1106,-0.0017,2.2925,102.1354,202.3944,78.0382,0.3826,3.1719,1.9613,1.4276,1.6622,2425.25,2425.3468,109,512,,29.5,-4.3999889,60.323475
12.1202,-0.0059,2.2823,102.0687,202.2006,79.475,0.3813,3.1862,2.1638,1.9485,1.8099,2425.5,2425.4992,110,19,0.63,23.6,-4.3999889,60.323475
12.1456,-0.0065,2.2878,101.8815,202.7642,80.6193,0.3917,3.3491,2.525,3.0251,2.0865,2425.75,2425.6516,111,73,,26.1,-4.3999889,60.323475
12.1807,-0.0063,2.3114,101.6776,203.6818,82.0457,0.3793,3.5556,2.7439,3.0562,2.2554,2425.75,2425.804,111,73,,26.1,-4.3999889,60.323475
12.2157,-0.0046,2.3344,101.9159,204.0511,82.8932,0.4122,3.5502,2.7412,2.647,2.2468,2426,2425.9564,112,13,,23.4,-4.3999889,60.323475
12.2369,-0.0042,2.3376,102.3111,203.6934,82.5948,0.4017,3.4054,2.8463,3.2355,2.3217,2426,2426.1088,112,13,,23.4,-4.3999889,60.323475
12.2386,-0.0047,2.3382,102.3381,204.0397,80.9224,0.4086,3.3568,2.9201,2.6204,2.3625,2426,2426.2612,112,13,,23.4,-4.3999889,60.323475
12.2376,-0.0029,2.3513,102.5222,203.7587,81.4522,0.3945,3.59,2.9499,3.3603,2.3732,2426,2426.4136,112,13,,23.4,-4.3999889,60.323475
12.2329,0.0006,2.3565,102.5978,202.7322,79.978,0.4062,3.6732,2.8592,2.4854,2.2918,2427,2426.566,116,5.2,,24,-4.3999889,60.323475
12.2128,0.0012,2.3496,102.5409,202.603,77.6939,0.4162,3.5528,2.4396,2.3485,1.9466,2427,2426.7184,116,5.2,,24,-4.3999889,60.323475
12.2006,0.0014,2.3313,102.2808,201.0478,77.2512,0.4098,3.3123,2.0635,2.1379,1.6741,2427,2426.8708,116,5.2,,24,-4.3999889,60.323475
12.1565,0.0034,2.3161,102.0143,201.5398,77.8794,0.3995,3.1542,1.9328,1.5065,1.5598,2427,2427.0232,116,5.2,,24,-4.3999889,60.323475
12.1168,0.0018,2.2888,101.6893,203.781,78.0977,0.3877,3.0659,1.7019,1.135,1.3787,2427.27,2427.1756,117,99,,26.3,-4.3999889,60.323475
12.1144,-0.0023,2.259,102.2171,205.9359,72.8348,0.3642,2.9413,1.5939,1.3274,1.3139,2427.27,2427.328,117,99,,26.3,-4.3999889,60.323475
12.1142,-0.003,2.2373,102.5823,207.131,65.829,0.3733,2.9011,1.6425,0.971,1.3423,2427.5,2427.4804,118,260,30,28.3,-4.3999889,60.323475
12.1132,-0.0042,2.2246,102.787,207.6515,62.418,0.3609,2.8336,1.6404,0.9673,1.3391,2427.75,2427.6328,119,158,,29.8,-4.3999889,60.323475
12.1145,-0.0052,2.2188,103.2963,206.1773,59.9095,0.3662,2.8535,1.6409,1.1157,1.3485,2427.75,2427.7852,119,158,,29.8,-4.3999889,60.323475
12.1142,-0.0008,2.2232,103.2105,203.8335,60.3143,0.3543,2.8314,1.6747,1.0352,1.3822,2428.02,2427.9376,120,1099,,30.4,-4.3999889,60.323475
12.1142,0.0011,2.2259,102.7048,200.6901,58.4623,0.3718,2.7904,1.7587,0.9602,1.4724,2428.02,2428.09,120,1099,,30.4,-4.3999889,60.323475
12.1164,-0.0015,2.2231,101.9861,198.7125,57.5278,0.3808,2.7104,1.8792,1.0117,1.5277,2428.25,2428.2424,121,235,,28.7,-4.3999889,60.323475
12.114,-0.0008,2.2294,100.8164,193.5865,56.221,0.387,2.6927,2.027,1.114,1.6227,2428.5,2428.3948,122,227,461,28.6,-4.3999889,60.323475
12.1132,0.0015,2.2349,99.9256,194.0595,54.2696,0.3779,2.6905,2.1471,0.973,1.6737,2428.5,2428.5472,122,227,461,28.6,-4.3999889,60.323475
12.1145,-0.0034,2.2327,99.4877,194.6568,52.9416,0.375,2.7243,2.1475,0.9801,1.6586,2428.78,2428.6996,123,263,,29.7,-4.3999889,60.323475
12.1142,-0.0034,2.2312,98.7885,194.5376,51.6136,0.3688,2.7473,2.1005,0.9892,1.5991,2428.78,2428.852,123,263,,29.7,-4.3999889,60.323475
12.1145,-0.0004,2.2402,98.9679,194.1621,52.1385,0.3596,2.7941,2.1795,1.0145,1.6166,2428.78,2429.0044,123,263,,29.7,-4.3999889,60.323475
12.1112,-0.0012,2.2483,98.7016,191.3869,52.0893,0.347,2.8025,2.4702,1.0724,1.7923,2429.32,2429.1568,125,666,,27,-4.3999889,60.323475
12.1164,-0.0034,2.2597,95.6741,183.1701,50.4588,0.3433,2.8564,2.8335,1.3435,2.0415,2429.32,2429.3092,125,666,,27,-4.3999889,60.323475
12.1129,-0.0025,2.2918,96.4534,179.5511,50.2621,0.342,3.0011,3.072,8.5911,2.1933,2429.48,2429.4616,126,601,,27.3,-4.3999889,60.323475
12.1142,0.0018,2.3528,96.3923,177.8114,50.9999,0.3342,3.2154,3.0702,14.1419,2.193,2429.48,2429.614,126,601,,27.3,-4.3999889,60.323475
12.1185,0.0076,2.4399,95.347,176.1274,50.7613,0.3166,3.5334,2.6864,13.1205,1.9366,2429.48,2429.7664,126,601,,27.3,-4.3999889,60.323475
12.1116,0.0127,2.5003,92.04,171.6215,50.6137,0.306,3.3882,2.3015,2.6282,1.6807,2429.48,2429.9188,126,601,,27.3,-4.3999889,60.323475
12.1156,0.0002,2.2392,99.668,188.9313,60.2496,0.3713,2.7932,1.894,0.9014,1.4707,2432.18,2431.7476,135,139,50,27.4,-4.3999889,60.323475
12.1185,-0.0018,2.2366,100.0552,189.0627,59.4959,0.3633,2.7708,1.917,0.9085,1.469,2432.18,2431.9,135,139,50,27.4,-4.3999889,60.323475
12.1142,-0.0022,2.2337,99.6596,188.9829,58.8896,0.3545,2.7594,1.9179,1.1088,1.4837,2432.18,2432.0524,135,139,50,27.4,-4.3999889,60.323475
